Percentile;Year;"anninc_992_i_BR
National income
Total population | average income or wealth | adults | individual | Euro â‚¬ | ppp | constant (2021)
Brazil"
pall;2002;135.331.881
pall;2003;132.947.964
pall;2004;137.996.296
pall;2005;138.972.598
pall;2006;141.267.498
pall;2007;147.231.293
pall;2008;151.994.965
pall;2009;148.269.714
pall;2010;155.880.637
pall;2011;159.880.623
pall;2012;160.999.095
pall;2013;165.127.162
pall;2014;162.029.831
pall;2015;153.069.889
pall;2016;145.393.644
pall;2017;145.772.125
pall;2018;144.450.003
pall;2019;143.865.311
